"filename", "language", "Markdown", "C++", "Python", "comment", "blank", "total"
"c:\Users\HP\Developement\IOI-Practise\C++_Practise\AtCoder\456Exercice.cpp", "C++", 0, 5, 0, 0, 4, 9
"c:\Users\HP\Developement\IOI-Practise\C++_Practise\AtCoder\A-455.cpp", "C++", 0, 21, 0, 0, 8, 29
"c:\Users\HP\Developement\IOI-Practise\C++_Practise\AtCoder\Array.cpp", "C++", 0, 13, 0, 0, 6, 19
"c:\Users\HP\Developement\IOI-Practise\C++_Practise\AtCoder\Arrays.cpp", "C++", 0, 18, 0, 0, 7, 25
"c:\Users\HP\Developement\IOI-Practise\C++_Practise\AtCoder\Dice.cpp", "C++", 0, 10, 0, 0, 3, 13
"c:\Users\HP\Developement\IOI-Practise\C++_Practise\AtCoder\LongSequence.cpp", "C++", 0, 19, 0, 0, 7, 26
"c:\Users\HP\Developement\IOI-Practise\C++_Practise\AtCoder\MissingSurveyTeamDivision.cpp", "C++", 0, 24, 0, 0, 10, 34
"c:\Users\HP\Developement\IOI-Practise\C++_Practise\AtCoder\SpriralGalaxy.cpp", "C++", 0, 9, 0, 0, 8, 17
"c:\Users\HP\Developement\IOI-Practise\C++_Practise\AtCoder\TestScoreDifference.cpp", "C++", 0, 17, 0, 0, 5, 22
"c:\Users\HP\Developement\IOI-Practise\C++_Practise\AtCoder\Vanish.cpp", "C++", 0, 20, 0, 0, 7, 27
"c:\Users\HP\Developement\IOI-Practise\C++_Practise\CSES\BitStrings.cpp", "C++", 0, 22, 0, 0, 8, 30
"c:\Users\HP\Developement\IOI-Practise\C++_Practise\CSES\IncreasingArray.cpp", "C++", 0, 21, 0, 0, 9, 30
"c:\Users\HP\Developement\IOI-Practise\C++_Practise\CSES\MissingNum.cpp", "C++", 0, 18, 0, 0, 5, 23
"c:\Users\HP\Developement\IOI-Practise\C++_Practise\CSES\Permutations.cpp", "C++", 0, 8, 0, 0, 8, 16
"c:\Users\HP\Developement\IOI-Practise\C++_Practise\CSES\Repetitions.cpp", "C++", 0, 18, 0, 0, 6, 24
"c:\Users\HP\Developement\IOI-Practise\C++_Practise\CSES\WeirdAlg.cpp", "C++", 0, 16, 0, 0, 4, 20
"c:\Users\HP\Developement\IOI-Practise\C++_Practise\CircularLocalMinMax.cpp", "C++", 0, 19, 0, 1, 2, 22
"c:\Users\HP\Developement\IOI-Practise\C++_Practise\CodeForces\Round1094_Div1\A.cpp", "C++", 0, 14, 0, 0, 6, 20
"c:\Users\HP\Developement\IOI-Practise\C++_Practise\CountDups.cpp", "C++", 0, 23, 0, 0, 5, 28
"c:\Users\HP\Developement\IOI-Practise\C++_Practise\CountEvenNumbers.cpp", "C++", 0, 19, 0, 1, 7, 27
"c:\Users\HP\Developement\IOI-Practise\C++_Practise\DistinctNums.cpp", "C++", 0, 14, 0, 0, 7, 21
"c:\Users\HP\Developement\IOI-Practise\C++_Practise\Duels\UnconventionalPairs.cpp", "C++", 0, 20, 0, 15, 7, 42
"c:\Users\HP\Developement\IOI-Practise\C++_Practise\FirstDup.cpp", "C++", 0, 18, 0, 10, 6, 34
"c:\Users\HP\Developement\IOI-Practise\C++_Practise\JuniorSheet\AntonDanik.cpp", "C++", 0, 18, 0, 0, 6, 24
"c:\Users\HP\Developement\IOI-Practise\C++_Practise\JuniorSheet\BearBigBrother.cpp", "C++", 0, 15, 0, 2, 7, 24
"c:\Users\HP\Developement\IOI-Practise\C++_Practise\JuniorSheet\BeautifulMatrix.cpp", "C++", 0, 17, 0, 0, 5, 22
"c:\Users\HP\Developement\IOI-Practise\C++_Practise\JuniorSheet\BoyGirl.cpp", "C++", 0, 13, 0, 0, 6, 19
"c:\Users\HP\Developement\IOI-Practise\C++_Practise\JuniorSheet\GravityFlip.cpp", "C++", 0, 17, 0, 0, 9, 26
"c:\Users\HP\Developement\IOI-Practise\C++_Practise\JuniorSheet\PetyaAndStrings.cpp", "C++", 0, 12, 0, 0, 5, 17
"c:\Users\HP\Developement\IOI-Practise\C++_Practise\JuniorSheet\Team.cpp", "C++", 0, 14, 0, 0, 7, 21
"c:\Users\HP\Developement\IOI-Practise\C++_Practise\JuniorSheet\VanyaAndFence.cpp", "C++", 0, 15, 0, 0, 5, 20
"c:\Users\HP\Developement\IOI-Practise\C++_Practise\MaxValue.cpp", "C++", 0, 18, 0, 2, 6, 26
"c:\Users\HP\Developement\IOI-Practise\C++_Practise\ProblemsPlan\BeautifulMatrix.cpp", "C++", 0, 0, 0, 0, 1, 1
"c:\Users\HP\Developement\IOI-Practise\C++_Practise\ProblemsPlan\BeautifulYear.cpp", "C++", 0, 21, 0, 0, 8, 29
"c:\Users\HP\Developement\IOI-Practise\C++_Practise\ProblemsPlan\BoyOrGirl.cpp", "C++", 0, 11, 0, 0, 8, 19
"c:\Users\HP\Developement\IOI-Practise\C++_Practise\ProblemsPlan\BrickWall.cpp", "C++", 0, 12, 0, 0, 6, 18
"c:\Users\HP\Developement\IOI-Practise\C++_Practise\ProblemsPlan\CaisaAndSugar.cpp", "C++", 0, 20, 0, 0, 10, 30
"c:\Users\HP\Developement\IOI-Practise\C++_Practise\ProblemsPlan\CinemaLine.cpp", "C++", 0, 39, 0, 0, 11, 50
"c:\Users\HP\Developement\IOI-Practise\C++_Practise\ProblemsPlan\ColorfulStones.cpp", "C++", 0, 14, 0, 0, 8, 22
"c:\Users\HP\Developement\IOI-Practise\C++_Practise\ProblemsPlan\DominoPiling.cpp", "C++", 0, 10, 0, 0, 7, 17
"c:\Users\HP\Developement\IOI-Practise\C++_Practise\ProblemsPlan\Drinks.cpp", "C++", 0, 16, 0, 0, 10, 26
"c:\Users\HP\Developement\IOI-Practise\C++_Practise\ProblemsPlan\Elections.cpp", "C++", 0, 8, 0, 0, 6, 14
"c:\Users\HP\Developement\IOI-Practise\C++_Practise\ProblemsPlan\FootBall.cpp", "C++", 0, 20, 0, 0, 3, 23
"c:\Users\HP\Developement\IOI-Practise\C++_Practise\ProblemsPlan\GoodArray.cpp", "C++", 0, 13, 0, 0, 8, 21
"c:\Users\HP\Developement\IOI-Practise\C++_Practise\ProblemsPlan\HelpfulMaths.cpp", "C++", 0, 20, 0, 0, 7, 27
"c:\Users\HP\Developement\IOI-Practise\C++_Practise\ProblemsPlan\IWanaBeTheGuy.cpp", "C++", 0, 24, 0, 0, 5, 29
"c:\Users\HP\Developement\IOI-Practise\C++_Practise\ProblemsPlan\NextRound.cpp", "C++", 0, 18, 0, 0, 4, 22
"c:\Users\HP\Developement\IOI-Practise\C++_Practise\ProblemsPlan\RaisingBacteria.cpp", "C++", 0, 17, 0, 0, 10, 27
"c:\Users\HP\Developement\IOI-Practise\C++_Practise\ProblemsPlan\Soccer.cpp", "C++", 0, 19, 0, 0, 8, 27
"c:\Users\HP\Developement\IOI-Practise\C++_Practise\ProblemsPlan\SoldiersAndBananas.cpp", "C++", 0, 13, 0, 2, 6, 21
